Gemeinde;BFS_NR_GEMEINDE;BEZIRK_NR;BEZIRK_BEZ;BEZIRK_NR_ALT;Wohnbevölkerung_2004;Ausländeranteil_Prozent_2004;Wohnbevölkerung_2005;Ausländeranteil_Prozent_2005;Wohnbevölkerung_2006;Ausländeranteil_Prozent_2006;Wohnbevölkerung_2007;Ausländeranteil_Prozent_2007;Wohnbevölkerung_2008;Ausländeranteil_Prozent_2008;Wohnbevölkerung_2009;Ausländeranteil_Prozent_2009;Wohnbevölkerung_2010;Ausländeranteil_Prozent_2010;Wohnbevölkerung_2011;Ausländeranteil_Prozent_2011;Wohnbevölkerung_2012;Ausländeranteil_Prozent_2012;Wohnbevölkerung_2013;Ausländeranteil_Prozent_2013;Wohnbevölkerung_2014;Ausländeranteil_Prozent_2014
Sirnach;4761;2014;Münchwilen;2006;6552;20.4;6620;19.9;6603;19.8;6702;20.4;6809;20.8;6929;21.2;7039;21.1;7191;21.3;7317;21.9;7387;22.0;2361;10.7
Sommeri ;4446;2011;Arbon;2001;486;9.3;500;6.4;482;7.7;497;7.6;511;9.2;518;9.7;516;10.1;515;9.9;506;9.3;505;9.5;2450;14.7
Steckborn;4864;2012;Frauenfeld;2007;3371;22.8;3398;22.3;3417;22.1;3435;22.2;3471;23.0;3461;23.4;3497;24.1;3642;24.8;3689;25.5;3635;25.3;1294;9.1
Stettfurt;4606;2012;Frauenfeld;2004;1033;4.5;1062;4.9;1086;5.0;1098;5;1109;4.9;1099;5.3;1112;6.1;1129;6.8;1140;6.5;1142;6.5;3261;13.2
Sulgen;4506;2015;Weinfelden;2002;3388;21.2;3402;20.8;3368;20.4;3366;20.3;3415;21.6;3420;21.1;3397;20.8;3469;22.0;3542;23.6;3607;23.8;1341;9.5
Tägerwilen;4696;2013;Kreuzlingen;2005;3503;26.3;3579;27.0;3664;28.7;3640;28.7;3712;29.8;3763;30.8;3926;31.8;3997;33.3;4066;34.1;4263;35.4;5767;25
Thundorf;4611;2012;Frauenfeld;2004;1244;4.4;1260;5.6;1253;4.9;1273;6.4;1292;6.7;1296;6.8;1307;7.2;1326;7.2;1327;6.0;1340;6.3;3567;26.6
Tobel-Tägerschen ;4776;2014;Münchwilen;2006;1317;11.4;1328;11.4;1359;11.2;1351;11.6;1375;12.0;1380;11.9;1382;13.0;1379;12.6;1421;12.9;1463;13.5;2211;12.6
Uesslingen-Buch;4616;2012;Frauenfeld;2004;1058;3.8;1033;3.8;1042;4.9;1046;4.3;1041;4.4;1052;5.8;1060;5.3;1069;6.0;1066;5.9;1074;6.0;3480;25.3
Uttwil;4451;2011;Arbon;2001;1493;12.5;1500;12.1;1545;11.8;1604;12.6;1652;13.9;1711;13.7;1751;14.7;1757;14.4;1753;15.6;1807;17.3;1911;9.5
Wagenhausen;4871;2012;Frauenfeld;2007;1579;15.1;1554;13.6;1567;13.8;1589;14.5;1611;15.6;1603;16.6;1619;17.9;1611;18.2;1649;18.9;1661;19.1;614;9.8
Wäldi;4701;2013;Kreuzlingen;2005;955;9;955;8.7;961;8.9;960;9.8;970;11.3;998;12.4;987;11.6;998;11.1;993;12.2;986;13.2;3512;23.4
Wängi;4781;2014;Münchwilen;2006;4077;13.1;4074;12.3;4059;12.5;4059;12.6;4100;12.6;4067;12.8;4160;13.2;4226;13.2;4284;13.5;4425;14.3;2735;12.4
Warth-Weiningen;4621;2012;Frauenfeld;2004;1205;5.1;1180;4.9;1158;5.0;1174;5.6;1188;5.9;1202;6.5;1230;7.0;1227;7.5;1212;7.3;1215;7.7;795;7.4
Weinfelden;4946;2015;Weinfelden;2008;9564;20;9504;19.4;9649;18.7;9852;18.8;9977;19.6;10141;19.6;10333;19.9;10440;20.1;10646;20.2;10809;20.5;3638;24.1
Wigoltingen;4951;2015;Weinfelden;2008;2083;9.4;2115;10.0;2137;10.3;2126;10.7;2093;10.4;2123;10.6;2155;11.0;2172;11.5;2243;12.8;2253;13.8;10948;21.1
Wilen;4786;2014;Münchwilen;2006;1861;7;1926;7.7;1954;8.1;2029;8.4;2046;8.5;2056;8.5;2076;9.0;2125;9.3;2149;9.4;2249;10.3;2315;14.6
Wuppenau;4791;2015;Weinfelden;2006;972;2.9;1016;3.7;999;3.6;1008;3.5;1007;4.8;1021;5.8;1035;5.8;1063;6.4;1087;6.3;1097;5.9;1121;6.4
Zihlschlacht-Sitterdorf;4511;2015;Weinfelden;2002;1971;10.6;1991;10.3;2005;9.9;2029;9.9;2048;10.4;2042;10.0;2076;10.2;2113;11.0;2129;10.8;2164;11.0;2219;11.5
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
