Gemeinde,BFS_NR_GEMEINDE,Total,Ausländeranteil_Prozent,Jahr
Roggwil,4431,2888,10.2,2012
Romanshorn,4436,10254,29.2,2012
Salenstein,4851,1260,24.8,2012
Salmsach,4441,1329,25.1,2012
Schlatt,4546,1624,12.4,2012
Schönholzerswilen,4756,799,5.9,2012
Sirnach,4761,7317,21.9,2012
Sommeri ,4446,506,9.3,2012
Steckborn,4864,3689,25.5,2012
Stettfurt,4606,1140,6.5,2012
Sulgen,4506,3542,23.6,2012
Tägerwilen,4696,4066,34.1,2012
Thundorf,4611,1327,6,2012
Tobel-Tägerschen ,4776,1421,12.9,2012
Uesslingen-Buch,4616,1066,5.9,2012
Uttwil,4451,1753,15.6,2012
Wagenhausen,4871,1649,18.9,2012
Wäldi,4701,993,12.2,2012
Wängi,4781,4284,13.5,2012
Warth-Weiningen,4621,1212,7.3,2012
Weinfelden,4946,10646,20.2,2012
Wigoltingen,4951,2243,12.8,2012
Wilen,4786,2149,9.4,2012
Wuppenau,4791,1087,6.3,2012
Zihlschlacht-Sitterdorf,4511,2129,10.8,2012
Aadorf,4551,8413,15.6,2013
Affeltrangen,4711,2387,13.8,2013
Altnau,4641,2151,18.7,2013
Amlikon-Bissegg,4881,1303,8.1,2013
Amriswil,4461,12636,29.1,2013
Arbon,4401,14028,30.4,2013
Basadingen-Schlattingen,4536,1738,12.4,2013
Berg,4891,3237,12.4,2013
Berlingen ,4801,861,23.9,2013
Bettwiesen,4716,1145,21.9,2013
Bichelsee-Balterswil,4721,2741,10.7,2013
Birwinken,4901,1317,9.2,2013
Bischofszell,4471,5625,23.9,2013
Bottighofen,4643,2117,30.2,2013
Braunau,4723,725,8,2013
Bürglen,4911,3455,26,2013
Bussnang,4921,2184,11.4,2013
Diessenhofen ,4545,3547,32.7,2013
Dozwil,4406,664,11.7,2013
Egnach,4411,4445,12.2,2013
Erlen,4476,3263,22.3,2013
Ermatingen,4646,3077,27.9,2013
Eschenz,4806,1675,16.2,2013
Eschlikon,4724,4156,12.9,2013
Felben-Wellhausen,4561,2601,18.6,2013
Fischingen,4726,2540,7.3,2013
Frauenfeld,4566,24221,23.1,2013
Gachnang,4571,3597,12.8,2013
Gottlieben,4651,302,38.1,2013
Güttingen,4656,1481,18.3,2013
Hauptwil-Gottshaus,4486,1896,9.3,2013
Hefenhofen,4416,1234,13.5,2013
Herdern,4811,986,7.3,2013
Hohentannen,4495,618,9.7,2013
Homburg,4816,1476,7.1,2013
Horn,4421,2594,17,2013
Hüttlingen,4590,818,8.4,2013
Hüttwilen,4821,1579,9.2,2013
Kemmental,4666,2311,18,2013
Kesswil,4426,984,16.3,2013
Kradolf-Schönenberg,4501,3356,21.5,2013
Kreuzlingen,4671,20680,52.6,2013
Langrickenbach,4681,1223,14,2013
Lengwil,4683,1482,21.3,2013
Lommis,4741,1166,11.7,2013
Mammern,4826,611,26.4,2013
Märstetten,4941,2710,11.6,2013
Matzingen,4591,2524,20.9,2013
Müllheim,4831,2787,14.5,2013
Münchwilen,4746,5050,20.2,2013
Münsterlingen,4691,3113,36.9,2013
Neunforn,4601,950,6.3,2013
Pfyn,4841,1929,13.4,2013
Raperswilen,4846,393,7.1,2013
Rickenbach,4751,2688,32.1,2013
Roggwil,4431,2867,10.3,2013
Romanshorn,4436,10435,29.8,2013
Salenstein,4851,1290,25.7,2013
Salmsach,4441,1342,24.9,2013
Schlatt,4546,1626,11.2,2013
Schönholzerswilen,4756,823,5.7,2013
Sirnach,4761,7387,22,2013
Sommeri ,4446,505,9.5,2013
Steckborn,4864,3635,25.3,2013
Stettfurt,4606,1142,6.5,2013
Sulgen,4506,3607,23.8,2013
Tägerwilen,4696,4263,35.4,2013
Thundorf,4611,1340,6.3,2013
Tobel-Tägerschen ,4776,1463,13.5,2013
Uesslingen-Buch,4616,1074,6,2013
Uttwil,4451,1807,17.3,2013
Wagenhausen,4871,1661,19.1,2013
Wäldi,4701,986,13.2,2013
Wängi,4781,4425,14.3,2013
Warth-Weiningen,4621,1215,7.7,2013
Weinfelden,4946,10809,20.5,2013
Wigoltingen,4951,2253,13.8,2013
Wilen,4786,2249,10.3,2013
Wuppenau,4791,1097,5.9,2013
Zihlschlacht-Sitterdorf,4511,2164,11,2013
Aadorf,4551,12699,29.5,2014
Affeltrangen,4711,13986,30.4,2014
Altnau,4641,678,12.8,2014
Amlikon-Bissegg,4881,4516,12.9,2014
Amriswil,4461,1229,13.8,2014
Arbon,4401,2570,17.1,2014
Basadingen-Schlattingen,4536,989,16.4,2014
Berg,4891,2896,10.4,2014
Berlingen ,4801,10558,30.4,2014
Bettwiesen,4716,1382,26.6,2014
Bichelsee-Balterswil,4721,519,9.4,2014
Birwinken,4901,1804,18.2,2014
Bischofszell,4471,1774,12.9,2014
Bottighofen,4643,851,23.7,2014
Braunau,4723,3546,32.8,2014
Bürglen,4911,1682,16.6,2014
Bussnang,4921,2641,18.7,2014
Diessenhofen ,4545,24409,23.2,2014
Dozwil,4406,3729,13.5,2014
Egnach,4411,978,8,2014
Erlen,4476,1512,7.3,2014
Ermatingen,4646,831,8.5,2014
Eschenz,4806,1631,8.9,2014
Eschlikon,4724,608,26,2014
Felben-Wellhausen,4561,2569,23.4,2014
Fischingen,4726,2870,15.7,2014
Frauenfeld,4566,921,5.3,2014
Gachnang,4571,1946,13.7,2014
Gottlieben,4651,1646,13.3,2014
Güttingen,4656,3693,26,2014
Hauptwil-Gottshaus,4486,1160,7.3,2014
Hefenhofen,4416,1408,7.4,2014
Herdern,4811,1082,6.5,2014
Hohentannen,4495,1655,18.6,2014
Homburg,4816,1232,8.8,2014
Horn,4421,2113,18.8,2014
Hüttlingen,4590,2116,30.2,2014
Hüttwilen,4821,3156,28.6,2014
Kemmental,4666,299,39.5,2014
Kesswil,4426,1540,18.4,2014
Kradolf-Schönenberg,4501,2353,17.8,2014
Kreuzlingen,4671,21166,53.4,2014
Langrickenbach,4681,1264,14.8,2014
Lengwil,4683,1560,23.5,2014
Lommis,4741,3143,38,2014
Mammern,4826,411,10,2014
Märstetten,4941,1295,25.1,2014
Matzingen,4591,4320,35.4,2014
Müllheim,4831,1030,15.2,2014
Münchwilen,4746,8555,15.6,2014
Münsterlingen,4691,1128,21.9,2014
Neunforn,4601,2769,11.2,2014
Pfyn,4841,755,8.6,2014
Raperswilen,4846,4210,12.9,2014
Rickenbach,4751,2563,7.3,2014
Roggwil,4431,1191,12.1,2014
Romanshorn,4436,5137,20.9,2014
Salenstein,4851,2712,33.6,2014
Salmsach,4441,7488,22.5,2014
Schlatt,4546,1507,14.2,2014
Schönholzerswilen,4756,4471,14.9,2014
Sirnach,4761,2361,10.7,2014
Sommeri ,4446,2450,14.7,2014
Steckborn,4864,1294,9.1,2014
Stettfurt,4606,3261,13.2,2014
Sulgen,4506,1341,9.5,2014
Tägerwilen,4696,5767,25,2014
Thundorf,4611,3567,26.6,2014
Tobel-Tägerschen ,4776,2211,12.6,2014
Uesslingen-Buch,4616,3480,25.3,2014
Uttwil,4451,1911,9.5,2014
Wagenhausen,4871,614,9.8,2014
Wäldi,4701,3512,23.4,2014
Wängi,4781,2735,12.4,2014
Warth-Weiningen,4621,795,7.4,2014
Weinfelden,4946,3638,24.1,2014
Wigoltingen,4951,10948,21.1,2014
Wilen,4786,2315,14.6,2014
Wuppenau,4791,1121,6.4,2014
Zihlschlacht-Sitterdorf,4511,2219,11.5,2014
