Gemeinde,BFS_NR_GEMEINDE,0-19,20-39,40-64,65-79,80+,Statistikjahr
Arbon,4401,21.6,26.2,33.7,12.9,5.5,2005
Basadingen-Schlattingen,4536,27.6,23.3,36.6,9.7,2.8,2005
Berg,4891,28.5,23.4,35.3,8.9,3.8,2005
Berlingen*,4801,17.9,19.1,43.1,13.9,6.1,2005
Bettwiesen,4716,28,25.4,35.2,8.9,2.6,2005
Bichelsee-Balterswil,4721,25.8,25.6,36.9,9.1,2.6,2005
Birwinken,4901,29.5,24.4,32.9,10,3.2,2005
Bischofszell,4471,25,26.6,32.4,10.6,5.3,2005
Bottighofen,4643,18.4,25.4,40.1,13.2,2.9,2005
Braunau,4723,29.7,28,32.5,7.9,1.9,2005
Bürglen,4911,24.5,27.9,34.6,9,4,2005
Bussnang,4921,28.4,24.4,34.1,9.6,3.6,2005
Diessenhofen,4545,22.2,28.2,36.1,10.5,3,2005
Dozwil*,4406,28.6,20.7,34.2,12.1,4.3,2005
Egnach,4411,27.9,25.4,33.7,9.2,3.8,2005
Erlen,4476,28.3,24.4,35.3,8.6,3.4,2005
Ermatingen,4646,21,24.4,36.2,13.1,5.2,2005
Eschenz,4806,24.3,23,36.6,11.7,4.4,2005
Eschlikon,4724,25.7,25.9,35.2,9.6,3.6,2005
Felben-Wellhausen,4561,26.4,28.2,35.9,7.1,2.4,2005
Fischingen,4726,27.6,24.6,34.1,9.4,4.2,2005
Frauenfeld,4566,21.5,28.2,34.9,10.6,4.7,2005
Gachnang,4571,26.7,26.2,38.2,7,1.9,2005
Gottlieben,4651,14.4,28.4,41.9,11.6,3.7,2005
Güttingen,4656,25.1,23.8,38.5,9.7,3,2005
Hauptwil-Gottshaus,4486,28,26.4,34.3,8,3.3,2005
Hefenhofen,4416,29.8,24.7,33,9.6,2.9,2005
Herdern,4811,27.8,24.9,36.4,8,2.9,2005
Hohentannen,4495,33.6,22.5,30.4,9.8,3.7,2005
Homburg,4816,28.2,22.4,37.4,9.3,2.7,2005
Horn,4421,21.6,25.9,34.8,11.9,5.8,2005
Hüttlingen,4590,26.8,25.9,37.9,7.1,2.3,2005
Hüttwilen,4821,26.3,22.7,37,10.1,3.9,2005
Kemmental,4666,27.7,23.7,35.4,9.5,3.7,2005
Kesswil,4426,24.6,24.1,34.8,13.4,3.1,2005
