Gemeinde,BFS_NR_GEMEINDE,0-19,20-39,40-64,65-79,80+,Statistikjahr
Fischingen,4726,24.1,21.9,39.4,9.6,5,2009
Frauenfeld,4566,20.2,28.5,35.3,11.4,4.7,2009
Gachnang,4571,25,24.3,40.2,8.4,2.1,2009
Gottlieben,4651,16.5,18.1,47.6,14.9,2.9,2009
Güttingen,4656,24.6,21.5,39.3,11.1,3.6,2009
Hauptwil-Gottshaus,4486,25.4,27.2,36.9,7.4,3.1,2009
Hefenhofen,4416,27.6,20.8,38.8,9.3,3.5,2009
Herdern,4811,25.5,23.2,39.6,7.5,4.2,2009
Hohentannen,4495,31.4,19.1,36.1,8.9,4.6,2009
Homburg,4816,24.7,23.2,37.9,10,4.1,2009
Horn,4421,20.1,24.8,37.2,12.2,5.7,2009
Hüttlingen,4590,24.8,24.8,38.6,9.4,2.3,2009
Hüttwilen,4821,24.1,22.4,39.1,10.8,3.5,2009
Kemmental,4666,25.1,22.1,39.5,9.6,3.8,2009
Kesswil,4426,22.1,22.4,36.8,14.6,4.1,2009
Kradolf-Schönenberg,4501,23.8,26.4,37.8,8.5,3.4,2009
Kreuzlingen,4671,18.8,28.2,35.9,12.7,4.4,2009
Langrickenbach,4681,27.3,20.8,39.9,7.8,4.2,2009
Lengwil,4683,24.4,25.5,38,9.7,2.4,2009
Lommis,4741,28.4,20,41,8.5,2.2,2009
Mammern,4826,24.5,23.3,38,11.1,3.1,2009
Märstetten,4941,26.7,25.1,36.7,8.7,2.8,2009
Matzingen,4591,24.8,25.8,37,8.9,3.4,2009
Müllheim,4831,25.6,23.8,38,9.2,3.3,2009
Münchwilen,4746,25.4,26.4,35.3,9.1,3.8,2009
Münsterlingen,4691,21.1,25.2,38.7,11.8,3.2,2009
Neunforn,4601,20.1,22.1,41.3,11.5,5.1,2009
Pfyn,4841,23.8,25.1,38.5,8.6,4,2009
Raperswilen,4846,23.9,22.1,39.1,10.4,4.5,2009
Rickenbach,4751,20.2,30.8,35.5,10.5,3,2009
Roggwil,4431,26.7,22.2,39,8.7,3.5,2009
Romanshorn,4436,20.8,24.8,35.2,12.9,6.3,2009
Salenstein,4851,17.2,21.1,45.5,11.7,4.5,2009
Salmsach,4441,21.6,26.8,38.1,10.6,2.9,2009
Schlatt,4546,24.6,22.2,39,10.6,3.6,2009
Schönholzerswilen,4756,31.2,21.2,33.8,10.3,3.6,2009
Sirnach,4761,23.8,26.1,36.2,10.2,3.7,2009
Sommeri,4446,23,23.9,37.6,10.8,4.6,2009
Steckborn,4864,20.7,20.9,38.9,13.5,5.9,2009
Stettfurt,4606,27.5,20.1,41.5,7.6,3.3,2009
Sulgen,4506,23.5,25.6,34.6,11,5.3,2009
Tägerwilen,4696,23.5,23.8,38,10.9,3.7,2009
Thundorf,4611,25.8,22.4,39.5,8.4,3.9,2009
Tobel-Tägerschen,4776,25.5,26.7,35.7,9.7,2.4,2009
Uesslingen-Buch,4616,25.1,20.9,40.2,10.8,2.9,2009
Uttwil,4451,23.9,22.9,38.5,10.8,3.9,2009
Wagenhausen,4871,21.1,23.9,39.1,12,3.8,2009
Wäldi,4701,22.2,26.1,39.3,8.6,3.8,2009
Wängi,4781,25,23.3,37.6,10.5,3.6,2009
Warth-Weiningen,4621,20.7,21.6,42.7,12.1,2.9,2009
Weinfelden,4946,20.3,28.6,32.6,12.7,5.8,2009
Wigoltingen,4951,22.5,23.1,39.9,10.7,3.8,2009
Wilen,4786,28.2,22.1,36.5,10.3,2.9,2009
Wuppenau,4791,26.8,23.5,35.9,11,2.7,2009
Zihlschlacht-Sitterdorf,4511,25.8,25.1,36.3,9.3,3.6,2009
Aadorf ,4551,22.3,24.8,38.3,10.8,3.7,2010
Affeltrangen,4711,24.6,25.2,37.5,9.3,3.4,2010
Altnau,4641,24.7,21.1,40.5,11.1,2.6,2010
Amlikon-Bissegg,4881,25,21.8,39.2,9.8,4.1,2010
Amriswil,4461,22.6,27.5,33.8,11.1,5,2010
Arbon,4401,19.7,26,35.4,13.3,5.7,2010
Basadingen-Schlattingen,4536,23.6,21,40.6,10.8,4,2010
Berg,4891,26.1,22.5,37.2,10.5,3.7,2010
Berlingen ,4801,14.5,19.7,45,15.7,5.1,2010
Bettwiesen,4716,23.3,25.3,39.8,7.9,3.7,2010
Bichelsee-Balterswil,4721,23.8,23.1,38.4,10.9,3.7,2010
Birwinken,4901,27.3,20.3,38.1,10.2,4.2,2010
Bischofszell,4471,22.5,25.5,35.1,11.7,5.1,2010
Bottighofen,4643,17.8,21.6,41.7,15.1,3.9,2010
Braunau,4723,28.5,22.8,36.5,9.5,2.8,2010
Bürglen,4911,20.8,28.4,37.3,9.6,3.8,2010
Bussnang ,4921,25.5,25.5,35.2,9.4,4.4,2010
Diessenhofen,4545,20.3,26.9,36.3,13,3.5,2010
Dozwil,4406,26.7,23.6,32.2,12,5.5,2010
Egnach,4411,24.8,24.6,36.5,10.1,4,2010
Erlen,4476,24,26.4,37.3,9.2,3.1,2010
Ermatingen,4646,20,21.2,39.8,13.8,5.2,2010
Eschenz,4806,21.2,22.8,38.7,13.3,4,2010
Eschlikon,4724,22.9,25.1,37.9,10.6,3.5,2010
Felben-Wellhausen,4561,23.5,26.6,39,7.8,3,2010
Fischingen,4726,23.5,21.8,39.6,10.2,4.9,2010
Frauenfeld,4566,19.6,28.7,35.3,11.6,4.8,2010
Gachnang,4571,24.9,23.4,40.5,9.1,2.1,2010
Gottlieben,4651,16.3,17.6,48.5,13.7,3.9,2010
Güttingen,4656,23.8,21.2,40.1,10.9,4,2010
Hauptwil-Gottshaus,4486,26.2,26.1,37.2,7.4,3.1,2010
Hefenhofen,4416,25.5,22.3,39.1,9.6,3.5,2010
Herdern ,4811,26,22.4,38.9,8.9,3.9,2010
Hohentannen,4495,29.6,19,38.7,8.4,4.3,2010
Homburg,4816,23.9,23,38.4,10.8,4,2010
Horn,4421,19.9,24.7,36.9,12.7,5.8,2010
Hüttlingen,4590,24.4,24.1,39.5,9.7,2.3,2010
Hüttwilen,4821,24,22,39.7,10.4,3.9,2010
Kemmental,4666,24.7,22.7,39.3,9.7,3.6,2010
Kesswil,4426,21.4,23.4,36.5,14.2,4.5,2010
Kradolf-Schönenberg,4501,23.2,26.3,38,8.8,3.7,2010
Kreuzlingen,4671,18.5,28.4,36.2,12.7,4.2,2010
Langrickenbach,4681,26.9,20.1,41,8.1,3.8,2010
Lengwil,4683,24.7,24.2,39.3,9.3,2.6,2010
Lommis,4741,27.2,19.7,42.1,8.6,2.3,2010
Mammern,4826,22.8,23.6,39.4,10.6,3.6,2010
Märstetten,4941,26,24.8,37.2,9.2,2.9,2010
Matzingen,4591,25.3,25.7,36.7,8.9,3.4,2010
Müllheim,4831,25.2,24.1,37.7,9.7,3.3,2010
Münchwilen,4746,25,25.9,36.1,9.2,3.7,2010
Münsterlingen,4691,20.7,24.7,39.2,12.1,3.3,2010
Neunforn,4601,19.6,21.2,41.6,12.4,5.2,2010
Pfyn,4841,22.6,25.7,39.1,8.6,4,2010
Raperswilen,4846,22.7,21.5,39.9,11.1,4.8,2010
Rickenbach,4751,19.5,30.7,35.5,11.1,3.2,2010
Roggwil,4431,26.2,21.5,39.4,9.3,3.6,2010
Romanshorn,4436,20.5,24.6,35.5,13.2,6.3,2010
Salenstein,4851,17.2,21,45.5,11.3,5,2010
Salmsach,4441,22.4,25.4,38.1,11.4,2.6,2010
Schlatt,4546,23.9,21.4,40.7,10.2,3.8,2010
Schönholzerswilen,4756,30.1,20.8,35.2,10.7,3.3,2010
Sirnach,4761,23.3,26.3,36.4,10.3,3.6,2010
Sommeri ,4446,21.1,24.8,38.4,11,4.7,2010
Steckborn,4864,20.5,21.7,38.5,13.3,5.9,2010
Stettfurt,4606,26.4,20.7,41.7,7.7,3.4,2010
Sulgen,4506,22.9,25.4,35.1,11.2,5.4,2010
Tägerwilen,4696,23.1,24.3,37.7,11.4,3.4,2010
Thundorf,4611,24.2,23.4,39.9,8.6,3.9,2010
Tobel-Tägerschen,4776,24.1,28,35.2,10.1,2.6,2010
Uesslingen-Buch,4616,23.5,21.6,40.2,11.5,3.2,2010
Uttwil,4451,22.7,23.8,38.2,11.5,3.8,2010
Wagenhausen,4871,21.1,22.5,41,11.9,3.5,2010
Wäldi,4701,22.4,22.7,41.4,9.7,3.7,2010
Wängi,4781,25,22.7,38.2,10.3,3.8,2010
Warth-Weiningen,4621,19.8,22.3,42.3,12.2,3.4,2010
Weinfelden,4946,19.5,28.9,32.8,12.7,5.9,2010
Wigoltingen,4951,22.4,22.7,40,11,3.9,2010
Wilen,4786,28,21.3,37.1,10.7,2.9,2010
Wuppenau,4791,27.2,22.6,36,11.1,3,2010
Zihlschlacht-Sitterdorf,4511,25.5,25.3,36,9.9,3.4,2010
Aadorf ,4551,21.8,25,38.5,11,3.8,2011
Affeltrangen,4711,23.7,25.4,38.1,9.5,3.4,2011
Altnau,4641,24.6,21.9,39.9,10.9,2.7,2011
Amlikon-Bissegg,4881,23.8,22.5,39.4,10.5,3.9,2011
Amriswil,4461,22,27.7,33.9,11.3,5.1,2011
Arbon,4401,19.2,26,35.6,13.6,5.6,2011
Basadingen-Schlattingen,4536,23.4,20.4,41.1,11.5,3.6,2011
Berg,4891,25.7,22,38.1,10.4,3.8,2011
Berlingen ,4801,13.8,18.4,44.1,18.2,5.5,2011
Bettwiesen,4716,22.8,25,41.1,7.2,3.9,2011
Bichelsee-Balterswil,4721,24,22.8,38.2,11.5,3.5,2011
Birwinken,4901,25.4,20,39.4,10.3,4.9,2011
Bischofszell,4471,22.4,25.4,35.1,12,5.1,2011
Bottighofen,4643,18.1,20.7,41.4,15.8,4.1,2011
Braunau,4723,28.5,23.1,35.6,10.5,2.4,2011
Bürglen,4911,20.5,28.5,37.2,9.7,4,2011
Bussnang ,4921,25.2,26.4,35,9.3,4.2,2011
Diessenhofen,4545,19.8,26.4,36.5,13.9,3.5,2011
Dozwil,4406,28.2,23.2,32,11.5,5.1,2011
Egnach,4411,23.8,24.7,37.1,10.6,3.8,2011
Erlen,4476,24.2,25.9,36.9,9.6,3.3,2011
Ermatingen,4646,19.4,21.5,40.1,13.9,5.2,2011
Eschenz,4806,19.7,23.8,38.8,13.4,4.2,2011
Eschlikon,4724,22.2,25.2,37.9,11.2,3.6,2011
Felben-Wellhausen,4561,22.5,26.6,39.3,8.5,3,2011
Fischingen,4726,23.4,20.9,40.1,10.9,4.7,2011
Frauenfeld,4566,19.4,29.1,34.8,11.9,4.8,2011
Gachnang,4571,24.9,23.1,40.3,9.8,2,2011
Gottlieben,4651,14.9,20.3,46.7,13.7,4.4,2011
Güttingen,4656,22.6,21.6,40,11.7,4.1,2011
Hauptwil-Gottshaus,4486,24.9,26.3,38.2,7.5,3.1,2011
Hefenhofen,4416,24.6,22.2,40.3,9.2,3.7,2011
Herdern ,4811,24.8,21.4,41.1,8.9,3.8,2011
Hohentannen,4495,28.8,21.4,37.4,7.8,4.7,2011
Homburg,4816,22.7,23.1,39.3,10.8,4.1,2011
Horn,4421,19.7,24.2,37.4,13,5.7,2011
Hüttlingen,4590,23,24.7,39.9,9.8,2.6,2011
Hüttwilen,4821,24.1,23,38.5,10.8,3.6,2011
Kemmental,4666,23.9,22.5,39.6,10.7,3.4,2011
Kesswil,4426,21.4,21.6,37.7,14.4,4.9,2011
Kradolf-Schönenberg,4501,22.3,27.1,38.3,8.3,4,2011
Kreuzlingen,4671,18.1,28.6,36.2,12.8,4.3,2011
Langrickenbach,4681,25.1,22.2,40.4,8.5,3.9,2011
Lengwil,4683,24.7,24.3,38.8,9.5,2.8,2011
Lommis,4741,26.2,20.4,42.4,8.6,2.4,2011
Mammern,4826,21.7,23.9,40.6,10.3,3.5,2011
Märstetten,4941,25.7,24.8,37.1,9.6,2.7,2011
Matzingen,4591,24.4,26.5,36.4,9,3.6,2011
Müllheim,4831,25,23.2,38.4,10.4,3,2011
Münchwilen,4746,24.4,26,36.3,9.7,3.7,2011
Münsterlingen,4691,20.7,24.6,38.9,12.5,3.3,2011
Neunforn,4601,18.2,20.8,42.6,12.9,5.4,2011
Pfyn,4841,22.7,25.8,39.2,8.8,3.6,2011
Raperswilen,4846,21.4,19.5,43.1,11,5,2011
Rickenbach,4751,19.4,30.5,35.7,11.2,3.2,2011
Roggwil,4431,26.1,22,38.7,9.7,3.5,2011
Romanshorn,4436,19.6,25.8,35.1,13.3,6.3,2011
Salenstein,4851,16.8,20.6,45.6,12,4.9,2011
Salmsach,4441,22.1,26.3,37,11.9,2.8,2011
Schlatt,4546,24.3,20.3,41.5,10.2,3.8,2011
Schönholzerswilen,4756,29,21.9,34.7,10.7,3.7,2011
Sirnach,4761,22.6,26.7,36.5,10.6,3.6,2011
Sommeri ,4446,20.2,25.8,38.6,11.3,4.1,2011
Steckborn,4864,19.8,22.1,38.3,14.3,5.5,2011
Stettfurt,4606,26,19.3,43.1,8,3.5,2011
Sulgen,4506,22,26.6,35.1,11.2,5.2,2011
Tägerwilen,4696,23,23.8,38.2,11.4,3.7,2011
Thundorf,4611,24.4,23.4,39.1,8.8,4.2,2011
Tobel-Tägerschen,4776,24.3,26,36.6,10,3,2011
Uesslingen-Buch,4616,23.3,22.9,39.2,11.2,3.4,2011
Uttwil,4451,22.8,23.2,37.8,12.6,3.6,2011
Wagenhausen,4871,20.9,23.4,39.2,12.9,3.6,2011
Wäldi,4701,21.4,22.4,41.5,10.4,4.2,2011
Wängi,4781,24.4,23.3,38.2,10.4,3.6,2011
Warth-Weiningen,4621,19.8,22.1,42.3,12.1,3.7,2011
Weinfelden,4946,19.5,28.8,32.8,12.9,6,2011
Wigoltingen,4951,21.5,22.3,41.1,10.9,4.3,2011
Wilen,4786,27.3,21.6,37.2,10.9,3,2011
Wuppenau,4791,26.6,23.8,35.7,11,2.9,2011
Zihlschlacht-Sitterdorf,4511,25,24.9,36.8,9.8,3.5,2011
Aadorf ,4551,21.1,25.3,38.4,11.3,3.8,2012
Affeltrangen,4711,23.9,25.5,37.3,9.8,3.5,2012
Altnau,4641,24,22.2,39.6,11.3,2.9,2012
Amlikon-Bissegg,4881,23,22.9,39.1,10.7,4.3,2012
Amriswil,4461,21.4,28.4,33.8,11.3,5.1,2012
Arbon,4401,19,26.2,35.3,13.9,5.6,2012
Basadingen-Schlattingen,4536,23.2,19.3,42.3,11.5,3.6,2012
Berg,4891,25.5,22.2,37.5,11.1,3.8,2012
Berlingen ,4801,13.4,18.9,43.5,19.1,5.1,2012
Bettwiesen,4716,21.8,26.7,40.6,7,3.9,2012
Bichelsee-Balterswil,4721,23.9,22.8,37.9,11.9,3.6,2012
Birwinken,4901,24.7,21.9,38.9,10.1,4.4,2012
Bischofszell,4471,21.8,25.6,35.2,12.2,5.2,2012
Bottighofen,4643,18,21.1,40.3,16.2,4.4,2012
Braunau,4723,27,23.8,35.6,11,2.7,2012
Bürglen,4911,21,28.6,36.2,10,4.1,2012
Bussnang ,4921,22.4,26.6,36.3,10.1,4.6,2012
Diessenhofen,4545,19.4,26.8,36,14,3.6,2012
Dozwil,4406,27,23.9,31.8,12.1,5.2,2012
Egnach,4411,23.2,24.8,37,10.9,4.1,2012
Erlen,4476,23.7,26.9,36.3,10,3.1,2012
Ermatingen,4646,18.8,21.8,40.4,13.6,5.5,2012
Eschenz,4806,19.5,23.8,38.9,13.7,4.2,2012
Eschlikon,4724,21.6,25.9,37.5,11,3.9,2012
Felben-Wellhausen,4561,22.8,26.6,38.5,9.1,2.9,2012
Fischingen,4726,23,21.5,39.9,11,4.5,2012
Frauenfeld,4566,19.2,29.4,34.5,12,4.9,2012
Gachnang,4571,24,22.7,40.9,10.4,2,2012
Gottlieben,4651,16.1,18.8,47.3,14.7,3.1,2012
Güttingen,4656,22.1,22.6,39.5,12.1,3.7,2012
Hauptwil-Gottshaus,4486,24.2,27.3,37.6,7.6,3.3,2012
Hefenhofen,4416,24.1,23.9,39.6,9.1,3.4,2012
Herdern ,4811,25.2,20,41.7,8.7,4.4,2012
Hohentannen,4495,27.5,21.7,37.9,7.9,5,2012
Homburg,4816,22.4,22.8,38.7,11.8,4.4,2012
Horn,4421,19.2,24.4,37.3,13.6,5.4,2012
Hüttlingen,4590,22,26,38.8,10.3,2.9,2012
Hüttwilen,4821,23.6,22.2,39.2,11,3.9,2012
Kemmental,4666,23.3,22.2,39.7,11,3.8,2012
Kesswil,4426,21.2,20.7,39.3,13.9,5,2012
Kradolf-Schönenberg,4501,21.8,26.1,39.5,8.5,4.1,2012
Kreuzlingen,4671,17.9,28.9,35.8,13,4.3,2012
Langrickenbach,4681,24.8,23,40.2,8.3,3.8,2012
Lengwil,4683,24.4,23.2,39.6,9.8,2.9,2012
Lommis,4741,24.8,22.1,41.8,8.7,2.6,2012
Mammern,4826,20.8,26.2,39.7,9.9,3.4,2012
Märstetten,4941,24.3,24.8,38,10,2.8,2012
Matzingen,4591,23.6,26.7,37.1,9,3.6,2012
Müllheim,4831,24.4,23,38.9,10.9,2.8,2012
Münchwilen,4746,23.4,26.9,36.2,10,3.4,2012
Münsterlingen,4691,20.2,24.8,39.5,12.2,3.3,2012
Neunforn,4601,18.4,19.3,42,14.9,5.5,2012
Pfyn,4841,22.3,25.3,40.2,9.2,3,2012
Raperswilen,4846,20.6,20.1,42.2,12.2,5,2012
Rickenbach,4751,19.1,30.7,35.5,11.6,3.1,2012
Roggwil,4431,26,21.1,38.7,10.8,3.4,2012
Romanshorn,4436,19.2,25.9,35.2,13.6,6.2,2012
Salenstein,4851,16.1,20.2,46.6,13.2,4,2012
Salmsach,4441,21.8,26.9,36.6,11.7,2.9,2012
Schlatt,4546,23.2,20.6,41.6,10.7,4.1,2012
Schönholzerswilen,4756,28,22,36.2,9.9,3.9,2012
Sirnach,4761,22.3,26.8,36.4,10.8,3.6,2012
Sommeri ,4446,20.2,25.5,38.9,11.3,4.2,2012
Steckborn,4864,18.9,22.6,38.2,14.6,5.7,2012
Stettfurt,4606,25.8,18.6,43.6,8.6,3.4,2012
Sulgen,4506,21.7,26.5,35.4,11.2,5.1,2012
Tägerwilen,4696,22,24.5,38.6,11.3,3.6,2012
Thundorf,4611,24.1,22.4,39.9,9.7,3.9,2012
Tobel-Tägerschen,4776,25.3,25.7,36,9.9,3.2,2012
Uesslingen-Buch,4616,22,23.2,40,11.3,3.7,2012
Uttwil,4451,22.1,22.7,38.7,12.8,3.8,2012
Wagenhausen,4871,20.4,24,38.4,13.3,3.8,2012
Wäldi,4701,22.1,21.3,41.7,10.3,4.6,2012
Wängi,4781,23.7,23.6,38.2,10.8,3.7,2012
Warth-Weiningen,4621,19.6,21.4,42.8,12.5,3.7,2012
Weinfelden,4946,19.5,28.9,32.7,13,5.9,2012
Wigoltingen,4951,22.1,22.8,39.9,10.7,4.5,2012
Wilen,4786,27.1,21.8,37.7,10.4,3,2012
Wuppenau,4791,26.2,23.7,35.1,11.9,3,2012
Zihlschlacht-Sitterdorf,4511,25.1,24.4,37,10.1,3.4,2012
Aadorf ,4551,20.9,25.3,38.2,11.8,3.8,2013
Affeltrangen,4711,23.3,25.5,37.6,10.1,3.5,2013
Altnau,4641,24,22.8,38.6,11.5,3,2013
Amlikon-Bissegg,4881,22.3,23.3,39.8,10.4,4.3,2013
Amriswil,4461,21.2,28.6,33.7,11.5,5,2013
Arbon,4401,19,26.1,35.4,13.9,5.6,2013
Basadingen-Schlattingen,4536,23.1,18.8,42,12.5,3.6,2013
Berg,4891,24.9,22.1,38.1,11.2,3.7,2013
Berlingen ,4801,13.2,17.1,43.8,20.2,5.7,2013
Bettwiesen,4716,22.2,27.3,39.5,7.2,3.8,2013
Bichelsee-Balterswil,4721,23.4,24.2,37.1,11.8,3.5,2013
Birwinken,4901,24.1,22.4,39.3,10.3,3.9,2013
Bischofszell,4471,21.9,26,34.6,12.3,5.2,2013
Bottighofen,4643,18.3,20.1,40.4,16.8,4.4,2013
Braunau,4723,25.5,24.3,36.3,10.9,3,2013
Bürglen,4911,19.9,29.6,35.7,10.6,4.2,2013
Bussnang ,4921,23.3,26.7,36.3,9.8,4,2013
Diessenhofen,4545,19.5,26.4,35.4,14.8,3.9,2013
Dozwil,4406,27.1,23.9,31.5,12.2,5.3,2013
Egnach,4411,22.5,25.3,36.7,11.3,4.2,2013
Erlen,4476,23.4,27.2,36.3,10,3.2,2013
Ermatingen,4646,18.3,22.2,39.9,14.2,5.4,2013
Eschenz,4806,19.8,23.3,39,14,3.9,2013
Eschlikon,4724,20.7,26.3,37.3,11.6,4,2013
Felben-Wellhausen,4561,22,27.2,38.5,9.4,2.8,2013
Fischingen,4726,22.4,21.3,40.4,11.8,4.2,2013
Frauenfeld,4566,19.2,29.3,34.3,12.2,4.9,2013
Gachnang,4571,23.8,23.4,40,10.6,2.2,2013
Gottlieben,4651,16.2,20.9,46.4,13.9,2.6,2013
Güttingen,4656,20.6,23,39.4,13.2,3.8,2013
Hauptwil-Gottshaus,4486,23.7,27.2,37.5,8.5,3.1,2013
Hefenhofen,4416,23.2,23.8,40.7,8.7,3.6,2013
Herdern ,4811,25.4,21.2,40.8,8.3,4.4,2013
Hohentannen,4495,27.2,22.3,37.7,7.9,4.9,2013
Homburg,4816,22.1,23,37.9,12.5,4.5,2013
Horn,4421,19,24.4,37.1,13.9,5.6,2013
Hüttlingen,4590,21.8,25.6,39.1,10,3.5,2013
Hüttwilen,4821,23.7,21.3,39.8,11.3,3.9,2013
Kemmental,4666,22.9,22.8,39.2,11.3,3.7,2013
Kesswil,4426,20.6,20.3,39,14.9,5.1,2013
Kradolf-Schönenberg,4501,20.9,27.2,39.2,8.7,4,2013
Kreuzlingen,4671,17.6,28.7,36.1,13.4,4.2,2013
Langrickenbach,4681,23.3,25.7,38.8,8.5,3.8,2013
Lengwil,4683,24.8,22.9,39.5,9.4,3.4,2013
Lommis,4741,24.1,22.7,42.2,8.4,2.6,2013
Mammern,4826,21.4,24.5,38.3,11.8,3.9,2013
Märstetten,4941,23.5,25.9,38,9.7,2.9,2013
Matzingen,4591,23,26.5,37.2,9.7,3.5,2013
Müllheim,4831,23.2,23.5,38.8,11.5,3,2013
Münchwilen,4746,23.3,26.4,36.4,10.3,3.6,2013
Münsterlingen,4691,19.5,24.9,39.7,12.5,3.3,2013
Neunforn,4601,16.6,21.3,41.2,15.5,5.5,2013
Pfyn,4841,22,24.5,40.7,9.5,3.3,2013
Raperswilen,4846,20.9,19.3,43.5,12,4.3,2013
Rickenbach,4751,19,30.6,35.2,12,3.2,2013
Roggwil,4431,25.6,20.2,39.7,11,3.5,2013
Romanshorn,4436,19.3,26.3,34.6,13.6,6.1,2013
Salenstein,4851,16,20.2,46.2,13.8,3.9,2013
Salmsach,4441,21,26.5,37.4,12.1,3,2013
Schlatt,4546,23.2,20,41.5,11.3,4.1,2013
Schönholzerswilen,4756,28.2,22.2,36.5,9,4.1,2013
Sirnach,4761,21.7,27.4,36.3,11,3.6,2013
Sommeri ,4446,18.8,25.3,39.8,12.3,3.8,2013
Steckborn,4864,18.5,22.1,38.1,15.4,5.9,2013
Stettfurt,4606,25,18.6,44,9,3.4,2013
Sulgen,4506,21.5,26.8,35.3,11.3,5.2,2013
Tägerwilen,4696,22,25.2,37.9,11.4,3.5,2013
Thundorf,4611,23.5,22.5,40.4,9.4,4.2,2013
Tobel-Tägerschen,4776,25.1,26.2,35.7,9.2,3.8,2013
Uesslingen-Buch,4616,20.8,23.6,40.6,11.2,3.8,2013
Uttwil,4451,21.4,22.7,39,13.3,3.5,2013
Wagenhausen,4871,21,24.4,38,12.9,3.7,2013
Wäldi,4701,22.1,19.6,43.1,10.8,4.5,2013
Wängi,4781,23.8,24.7,36.7,11.1,3.7,2013
Warth-Weiningen,4621,19.3,20.5,42.6,13.6,4,2013
Weinfelden,4946,19.1,29.4,32.7,12.8,6,2013
Wigoltingen,4951,21.8,21.7,41.3,10.9,4.3,2013
Wilen,4786,26.2,23.2,37.8,9.9,2.9,2013
Wuppenau,4791,25.8,23.3,35.9,11.9,3,2013
Zihlschlacht-Sitterdorf,4511,25,23.9,37.9,9.8,3.3,2013
Aadorf ,4551,20.5,25.1,38.2,12.4,3.9,2014
Affeltrangen,4711,23.4,25.5,37.2,10.3,3.6,2014
Altnau,4641,23.1,23,38.8,11.9,3.2,2014
Amlikon-Bissegg,4881,20.9,24.1,39.9,10.5,4.6,2014
Amriswil,4461,20.8,29.2,33.5,11.6,4.9,2014
Arbon,4401,19.2,25.7,35.5,14.1,5.5,2014
Basadingen-Schlattingen,4536,22.7,19.9,41.1,12.3,4,2014
Berg,4891,24.7,22.3,37.6,11.4,4.1,2014
Berlingen ,4801,12.3,17.4,42.4,22.2,5.6,2014
Bettwiesen,4716,21,27.7,39.3,7.9,4.1,2014
Bichelsee-Balterswil,4721,22.8,24.6,37.2,12,3.5,2014
Birwinken,4901,23.3,22.5,39.3,10.6,4.3,2014
Bischofszell,4471,21.5,26.3,34.7,12.3,5.3,2014
Bottighofen,4643,17.8,19.6,39.8,17.7,5.2,2014
Braunau,4723,26.1,24.6,35.2,11.8,2.3,2014
Bürglen,4911,19.7,29.7,35.9,10.7,4,2014
Bussnang ,4921,22.5,27.3,36,10,4.2,2014
Diessenhofen,4545,19.3,25.9,35.2,15.2,4.3,2014
Dozwil,4406,26.5,24.5,31.7,11.8,5.5,2014
Egnach,4411,22.3,25.1,36.8,11.8,4.1,2014
Erlen,4476,23.8,28.3,34.7,9.9,3.2,2014
Ermatingen,4646,18.2,21.9,40.3,14,5.6,2014
Eschenz,4806,19.7,22.9,39.2,14.2,4,2014
Eschlikon,4724,21,26.5,37,11.5,3.9,2014
Felben-Wellhausen,4561,21.9,26.9,38.4,10.2,2.6,2014
Fischingen,4726,21.3,22.3,39.3,12.8,4.2,2014
Frauenfeld,4566,19.1,29.4,34.1,12.4,5,2014
Gachnang,4571,23.3,23.9,40,10.8,2,2014
Gottlieben,4651,17.1,20.1,45.5,14.4,3,2014
Güttingen,4656,21.1,23.6,37.9,13.3,4.2,2014
Hauptwil-Gottshaus,4486,24.1,26,37.4,9.5,3,2014
Hefenhofen,4416,21.2,23.8,42.4,8.5,4.1,2014
Herdern ,4811,23.5,21.4,42.5,8.4,4.2,2014
Hohentannen,4495,25.7,23.9,37.8,8,4.6,2014
Homburg,4816,22.9,22.2,37.7,12.6,4.6,2014
Horn,4421,18.3,23.9,37.4,14.6,5.8,2014
Hüttlingen,4590,22.5,25.6,38.1,10.1,3.6,2014
Hüttwilen,4821,23.6,21.3,39.2,12,3.9,2014
Kemmental,4666,22.1,23,39.4,11.7,3.8,2014
Kesswil,4426,21.6,19.5,39,14.6,5.3,2014
Kradolf-Schönenberg,4501,20.2,28.8,38.3,9.1,3.6,2014
Kreuzlingen,4671,17.4,29.1,35.6,13.6,4.3,2014
Langrickenbach,4681,23.4,26.1,38.1,8.8,3.6,2014
Lengwil,4683,23.7,24.2,39.3,9.9,2.9,2014
Lommis,4741,23.8,23.7,41.1,8.8,2.5,2014
Mammern,4826,20.9,24.5,39,11.3,4.3,2014
Märstetten,4941,23.3,25,38.6,10.1,3,2014
Matzingen,4591,22.9,27.5,36.6,9.5,3.5,2014
Müllheim,4831,22.2,23.4,39.4,11.8,3.1,2014
Münchwilen,4746,22.7,26.8,36.6,10.4,3.5,2014
Münsterlingen,4691,19.5,25.1,38.9,13.1,3.4,2014
Neunforn,4601,15.4,22,40.7,16.5,5.3,2014
Pfyn,4841,21.8,24.9,39.4,10.1,3.8,2014
Raperswilen,4846,20.2,23.4,39.9,12.7,3.9,2014
Rickenbach,4751,18.7,30.9,34.6,12,3.8,2014
Roggwil,4431,25.2,19.9,39.5,12.1,3.3,2014
Romanshorn,4436,19.1,26.3,34.5,14,6,2014
Salenstein,4851,15.8,20.5,45.1,14.1,4.5,2014
