DATUM_ABSTIMMUNG,VORLAGE_BEZEICHNUNG,VORLAGEART_CODE,VORLAGEART_BEZEICHNUNG,BEZIRK_NR,BEZIRK_NAME,BFS_NR_GEMEINDE,GEMEINDE_NAME,STIMMBERECHTIGTE,EINGELEGTE_STIMMZETTEL,LEERE_STIMMEN,UNGUELTIGE_STIMMEN,GUELTIGE_STIMMEN,JA_STIMMEN,NEIN_STIMMEN,STIMMBETEILIGUNG
24.09.2000,9,1,Volksinitiative,2004,Frauenfeld,4551,Aadorf,4874,2052,,,1996,852,1144,42.1
24.09.2000,9,1,Volksinitiative,2006,M�nchwilen,4711,Affeltrangen,1406,620,,,596,292,304,44.1
24.09.2000,9,1,Volksinitiative,2005,Kreuzlingen,4641,Altnau,1144,485,,,479,197,282,42.4
24.09.2000,9,1,Volksinitiative,2008,Weinfelden,4881,Amlikon-Bissegg,817,386,,,370,146,224,47.2
24.09.2000,9,1,Volksinitiative,2002,Bischofszell,4461,Amriswil,6575,2296,,,2258,1149,1109,34.9
24.09.2000,9,1,Volksinitiative,2001,Arbon,4401,Arbon,7626,2663,,,2527,1218,1309,34.9
24.09.2000,9,1,Volksinitiative,2003,Diessenhofen,4536,Basadingen-Schlattingen,1048,428,,,421,195,226,40.8
24.09.2000,9,1,Volksinitiative,2008,Weinfelden,4891,Berg,1838,812,,,804,395,409,44.2
24.09.2000,9,1,Volksinitiative,2007,Steckborn,4801,Berlingen,545,281,,,274,83,191,51.6
24.09.2000,9,1,Volksinitiative,2006,M�nchwilen,4716,Bettwiesen,568,286,,,278,135,143,50.4
24.09.2000,9,1,Volksinitiative,2006,M�nchwilen,4721,Bichelsee-Balterswil,1589,776,,,763,350,413,48.8
24.09.2000,9,1,Volksinitiative,2008,Weinfelden,4901,Birwinken,842,403,,,397,206,191,47.9
24.09.2000,9,1,Volksinitiative,2002,Bischofszell,4471,Bischofszell,3373,1340,,,1301,578,723,39.7
24.09.2000,9,1,Volksinitiative,2005,Kreuzlingen,4643,Bottighofen,1142,532,,,518,184,334,46.6
24.09.2000,9,1,Volksinitiative,2006,M�nchwilen,4723,Braunau,462,282,,,275,122,153,61
24.09.2000,9,1,Volksinitiative,2008,Weinfelden,4911,B�rglen (TG),1831,688,,,681,356,325,37.6
24.09.2000,9,1,Volksinitiative,2008,Weinfelden,4921,Bussnang,1425,695,,,680,325,355,48.8
24.09.2000,9,1,Volksinitiative,2003,Diessenhofen,4545,Diessenhofen,1855,817,,,815,374,441,44
24.09.2000,9,1,Volksinitiative,2001,Arbon,4406,Dozwil,343,189,,,186,110,76,55.1
24.09.2000,9,1,Volksinitiative,2001,Arbon,4411,Egnach,2679,1079,,,1052,476,576,40.3
24.09.2000,9,1,Volksinitiative,2002,Bischofszell,4476,Erlen,1882,697,,,670,321,349,37
24.09.2000,9,1,Volksinitiative,2005,Kreuzlingen,4646,Ermatingen,1671,704,,,691,289,402,42.1
24.09.2000,9,1,Volksinitiative,2007,Steckborn,4806,Eschenz,1008,451,,,450,189,261,44.7
24.09.2000,9,1,Volksinitiative,2006,M�nchwilen,4724,Eschlikon,2172,1054,,,1043,448,595,48.5
24.09.2000,9,1,Volksinitiative,2004,Frauenfeld,4561,Felben-Wellhausen,1348,557,,,548,234,314,41.3
24.09.2000,9,1,Volksinitiative,2006,M�nchwilen,4726,Fischingen,1797,910,,,901,418,483,50.6
24.09.2000,9,1,Volksinitiative,2004,Frauenfeld,4566,Frauenfeld,13558,6054,,,5958,2238,3720,44.7
24.09.2000,9,1,Volksinitiative,2004,Frauenfeld,4571,Gachnang,1991,844,,,834,347,487,42.4
24.09.2000,9,1,Volksinitiative,2005,Kreuzlingen,4651,Gottlieben,178,101,,,99,44,55,56.7
24.09.2000,9,1,Volksinitiative,2005,Kreuzlingen,4656,G�ttingen,863,378,,,375,154,221,43.8
24.09.2000,9,1,Volksinitiative,2002,Bischofszell,4486,Hauptwil-Gottshaus,1220,531,,,521,230,291,43.5
24.09.2000,9,1,Volksinitiative,2001,Arbon,4416,Hefenhofen,756,312,,,300,171,129,41.3
24.09.2000,9,1,Volksinitiative,2007,Steckborn,4811,Herdern,603,288,,,285,111,174,47.8
24.09.2000,9,1,Volksinitiative,2002,Bischofszell,4495,Hohentannen,387,166,,,166,77,89,42.9
24.09.2000,9,1,Volksinitiative,2007,Steckborn,4816,Homburg,1010,462,,,457,223,234,45.7
24.09.2000,9,1,Volksinitiative,2001,Arbon,4421,Horn,1562,701,,,693,256,437,44.9
24.09.2000,9,1,Volksinitiative,2004,Frauenfeld,4590,H�ttlingen,571,301,,,296,137,159,52.7
