DATUM_ABSTIMMUNG,VORLAGE_BEZEICHNUNG,VORLAGEART_CODE,VORLAGEART_BEZEICHNUNG,BEZIRK_NR,BEZIRK_NAME,BFS_NR_GEMEINDE,GEMEINDE_NAME,STIMMBERECHTIGTE,EINGELEGTE_STIMMZETTEL,LEERE_STIMMEN,UNGUELTIGE_STIMMEN,GUELTIGE_STIMMEN,JA_STIMMEN,NEIN_STIMMEN,STIMMBETEILIGUNG
21.05.2000,6,3,Obligatorisches Referendum,2004,Frauenfeld,4601,Neunforn,683,359,,,356,208,148,52.6
21.05.2000,6,3,Obligatorisches Referendum,2007,Steckborn,4841,Pfyn,1140,520,,,515,263,252,45.6
21.05.2000,6,3,Obligatorisches Referendum,2007,Steckborn,4846,Raperswilen,289,177,,,175,59,116,61.2
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4751,Rickenbach (TG),1367,560,,,560,323,237,41
21.05.2000,6,3,Obligatorisches Referendum,2001,Arbon,4431,Roggwil (TG),1660,695,,,689,376,313,41.9
21.05.2000,6,3,Obligatorisches Referendum,2001,Arbon,4436,Romanshorn,5417,2691,,,2665,1669,996,49.7
21.05.2000,6,3,Obligatorisches Referendum,2007,Steckborn,4851,Salenstein,741,395,,,392,220,172,53.3
21.05.2000,6,3,Obligatorisches Referendum,2001,Arbon,4441,Salmsach,782,273,,,271,151,120,34.9
21.05.2000,6,3,Obligatorisches Referendum,2003,Diessenhofen,4546,Schlatt (TG),1017,500,,,490,215,275,49.2
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4756,Sch�nholzerswilen,520,267,,,264,118,146,51.3
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4761,Sirnach,3706,1657,,,1654,942,712,44.7
21.05.2000,6,3,Obligatorisches Referendum,2001,Arbon,4446,Sommeri,352,197,,,197,73,124,56
21.05.2000,6,3,Obligatorisches Referendum,2007,Steckborn,4864,Steckborn,2003,908,,,872,582,290,45.3
21.05.2000,6,3,Obligatorisches Referendum,2004,Frauenfeld,4606,Stettfurt,674,330,,,325,220,105,49
21.05.2000,6,3,Obligatorisches Referendum,2002,Bischofszell,4506,Sulgen,2052,989,,,983,559,424,48.2
21.05.2000,6,3,Obligatorisches Referendum,2005,Kreuzlingen,4696,T�gerwilen,1928,893,,,879,485,394,46.3
21.05.2000,6,3,Obligatorisches Referendum,2004,Frauenfeld,4611,Thundorf,861,396,,,393,207,186,46
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4776,Tobel-T�gerschen,829,406,,,402,161,241,49
21.05.2000,6,3,Obligatorisches Referendum,2004,Frauenfeld,4616,Uesslingen-Buch,757,399,,,397,191,206,52.7
