DATUM_ABSTIMMUNG,VORLAGE_BEZEICHNUNG,VORLAGEART_CODE,VORLAGEART_BEZEICHNUNG,BEZIRK_NR,BEZIRK_NAME,BFS_NR_GEMEINDE,GEMEINDE_NAME,STIMMBERECHTIGTE,EINGELEGTE_STIMMZETTEL,LEERE_STIMMEN,UNGUELTIGE_STIMMEN,GUELTIGE_STIMMEN,JA_STIMMEN,NEIN_STIMMEN,STIMMBETEILIGUNG
18.05.2003,44,1,Volksinitiative,2006,M�nchwilen,4776,Tobel-T�gerschen,891,435,,,427,116,311,48.8
18.05.2003,44,1,Volksinitiative,2004,Frauenfeld,4616,Uesslingen-Buch,745,389,,,383,90,293,52.2
18.05.2003,44,1,Volksinitiative,2001,Arbon,4451,Uttwil,993,481,,,473,102,371,48.4
18.05.2003,44,1,Volksinitiative,2007,Steckborn,4871,Wagenhausen,1049,503,,,492,115,377,48
18.05.2003,44,1,Volksinitiative,2005,Kreuzlingen,4701,W�ldi,636,345,,,340,83,257,54.2
18.05.2003,44,1,Volksinitiative,2006,M�nchwilen,4781,W�ngi,2682,1276,,,1206,305,901,47.6
18.05.2003,44,1,Volksinitiative,2004,Frauenfeld,4621,Warth-Weiningen,850,458,,,432,115,317,53.9
18.05.2003,44,1,Volksinitiative,2008,Weinfelden,4946,Weinfelden,6229,3337,,,3183,796,2387,53.6
18.05.2003,44,1,Volksinitiative,2008,Weinfelden,4951,Wigoltingen,1407,638,,,611,128,483,45.3
18.05.2003,44,1,Volksinitiative,2006,M�nchwilen,4786,Wilen (TG),1224,620,,,614,176,438,50.7
18.05.2003,44,1,Volksinitiative,2006,M�nchwilen,4791,Wuppenau,707,369,,,366,89,277,52.2
18.05.2003,44,1,Volksinitiative,2002,Bischofszell,4511,Zihlschlacht-Sitterdorf,1311,603,,,581,121,460,46
18.05.2003,45,1,Volksinitiative,2004,Frauenfeld,4551,Aadorf,4929,2371,,,2315,503,1812,48.1
18.05.2003,45,1,Volksinitiative,2006,M�nchwilen,4711,Affeltrangen,1411,864,,,824,131,693,61.2
18.05.2003,45,1,Volksinitiative,2005,Kreuzlingen,4641,Altnau,1197,582,,,565,98,467,48.6
18.05.2003,45,1,Volksinitiative,2008,Weinfelden,4881,Amlikon-Bissegg,821,413,,,399,62,337,50.3
18.05.2003,45,1,Volksinitiative,2002,Bischofszell,4461,Amriswil,6677,2658,,,2559,660,1899,39.8
18.05.2003,45,1,Volksinitiative,2001,Arbon,4401,Arbon,7636,2762,,,2618,839,1779,36.2
18.05.2003,45,1,Volksinitiative,2003,Diessenhofen,4536,Basadingen-Schlattingen,1071,549,,,521,87,434,51.3
18.05.2003,45,1,Volksinitiative,2008,Weinfelden,4891,Berg,1953,924,,,899,140,759,47.3
18.05.2003,45,1,Volksinitiative,2007,Steckborn,4801,Berlingen,533,276,,,267,63,204,51.8
18.05.2003,45,1,Volksinitiative,2006,M�nchwilen,4716,Bettwiesen,604,308,,,298,42,256,51
18.05.2003,45,1,Volksinitiative,2006,M�nchwilen,4721,Bichelsee-Balterswil,1653,816,,,795,135,660,49.4
18.05.2003,45,1,Volksinitiative,2008,Weinfelden,4901,Birwinken,849,468,,,447,87,360,55.1
18.05.2003,45,1,Volksinitiative,2002,Bischofszell,4471,Bischofszell,3406,1475,,,1423,297,1126,43.3
18.05.2003,45,1,Volksinitiative,2005,Kreuzlingen,4643,Bottighofen,1220,614,,,603,110,493,50.3
18.05.2003,45,1,Volksinitiative,2006,M�nchwilen,4723,Braunau,486,310,,,289,47,242,63.8
18.05.2003,45,1,Volksinitiative,2008,Weinfelden,4911,B�rglen (TG),1881,875,,,853,164,689,46.5
18.05.2003,45,1,Volksinitiative,2008,Weinfelden,4921,Bussnang,1451,764,,,724,133,591,52.7
18.05.2003,45,1,Volksinitiative,2003,Diessenhofen,4545,Diessenhofen,1902,978,,,957,226,731,51.4
18.05.2003,45,1,Volksinitiative,2001,Arbon,4406,Dozwil,334,208,,,202,43,159,62.3
18.05.2003,45,1,Volksinitiative,2001,Arbon,4411,Egnach,2768,1356,,,1304,222,1082,49
18.05.2003,45,1,Volksinitiative,2002,Bischofszell,4476,Erlen,1868,791,,,748,105,643,42.3
18.05.2003,45,1,Volksinitiative,2005,Kreuzlingen,4646,Ermatingen,1697,778,,,757,131,626,45.8
18.05.2003,45,1,Volksinitiative,2007,Steckborn,4806,Eschenz,1045,501,,,481,84,397,47.9
18.05.2003,45,1,Volksinitiative,2006,M�nchwilen,4724,Eschlikon,2331,1136,,,1114,230,884,48.7
18.05.2003,45,1,Volksinitiative,2004,Frauenfeld,4561,Felben-Wellhausen,1410,637,,,623,154,469,45.2
18.05.2003,45,1,Volksinitiative,2006,M�nchwilen,4726,Fischingen,1838,980,,,963,184,779,53.3
18.05.2003,45,1,Volksinitiative,2004,Frauenfeld,4566,Frauenfeld,14020,7338,,,7133,1974,5159,52.3
18.05.2003,45,1,Volksinitiative,2004,Frauenfeld,4571,Gachnang,2164,1058,,,1036,230,806,48.9
18.05.2003,45,1,Volksinitiative,2005,Kreuzlingen,4651,Gottlieben,181,96,,,90,19,71,53
18.05.2003,45,1,Volksinitiative,2005,Kreuzlingen,4656,G�ttingen,876,414,,,403,66,337,47.3
18.05.2003,45,1,Volksinitiative,2002,Bischofszell,4486,Hauptwil-Gottshaus,1308,556,,,540,101,439,42.5
18.05.2003,45,1,Volksinitiative,2001,Arbon,4416,Hefenhofen,769,343,,,321,66,255,44.6
18.05.2003,45,1,Volksinitiative,2007,Steckborn,4811,Herdern,650,346,,,336,43,293,53.2
18.05.2003,45,1,Volksinitiative,2002,Bischofszell,4495,Hohentannen,388,181,,,177,32,145,46.6
18.05.2003,45,1,Volksinitiative,2007,Steckborn,4816,Homburg,996,526,,,503,53,450,52.8
