DATUM_ABSTIMMUNG,VORLAGE_BEZEICHNUNG,VORLAGEART_CODE,VORLAGEART_BEZEICHNUNG,BEZIRK_NR,BEZIRK_NAME,BFS_NR_GEMEINDE,GEMEINDE_NAME,STIMMBERECHTIGTE,EINGELEGTE_STIMMZETTEL,LEERE_STIMMEN,UNGUELTIGE_STIMMEN,GUELTIGE_STIMMEN,JA_STIMMEN,NEIN_STIMMEN,STIMMBETEILIGUNG
12.03.2000,5,1,Volksinitiative,2004,Frauenfeld,4551,Aadorf,4820,1808,,,1702,533,1169,37.5
12.03.2000,5,1,Volksinitiative,2006,M�nchwilen,4711,Affeltrangen,1396,618,,,593,181,412,44.3
12.03.2000,5,1,Volksinitiative,2005,Kreuzlingen,4641,Altnau,1121,461,,,454,161,293,41.1
12.03.2000,5,1,Volksinitiative,2008,Weinfelden,4881,Amlikon-Bissegg,791,375,,,364,111,253,47.4
12.03.2000,5,1,Volksinitiative,2002,Bischofszell,4461,Amriswil,6545,2119,,,2073,717,1356,32.4
12.03.2000,5,1,Volksinitiative,2001,Arbon,4401,Arbon,7602,2546,,,2443,878,1565,33.5
12.03.2000,5,1,Volksinitiative,2003,Diessenhofen,4536,Basadingen-Schlattingen,1051,478,,,468,154,314,45.5
12.03.2000,5,1,Volksinitiative,2008,Weinfelden,4891,Berg,1847,791,,,766,272,494,42.8
12.03.2000,5,1,Volksinitiative,2007,Steckborn,4801,Berlingen,546,267,,,263,81,182,48.9
12.03.2000,5,1,Volksinitiative,2006,M�nchwilen,4716,Bettwiesen,552,232,,,226,59,167,42
12.03.2000,5,1,Volksinitiative,2006,M�nchwilen,4721,Bichelsee-Balterswil,1601,638,,,622,196,426,39.9
12.03.2000,5,1,Volksinitiative,2008,Weinfelden,4901,Birwinken,844,399,,,380,136,244,47.3
12.03.2000,5,1,Volksinitiative,2002,Bischofszell,4471,Bischofszell,3332,1503,,,1417,524,893,45.1
12.03.2000,5,1,Volksinitiative,2005,Kreuzlingen,4643,Bottighofen,1112,489,,,479,122,357,44
12.03.2000,5,1,Volksinitiative,2006,M�nchwilen,4723,Braunau,470,215,,,214,93,121,45.7
