DATUM_ABSTIMMUNG,VORLAGE_BEZEICHNUNG,VORLAGEART_CODE,VORLAGEART_BEZEICHNUNG,BEZIRK_NR,BEZIRK_NAME,BFS_NR_GEMEINDE,GEMEINDE_NAME,STIMMBERECHTIGTE,EINGELEGTE_STIMMZETTEL,LEERE_STIMMEN,UNGUELTIGE_STIMMEN,GUELTIGE_STIMMEN,JA_STIMMEN,NEIN_STIMMEN,STIMMBETEILIGUNG
24.09.2000,8,3,Obligatorisches Referendum,2004,Frauenfeld,4551,Aadorf,4874,2031,,,1952,888,1064,41.7
24.09.2000,8,3,Obligatorisches Referendum,2006,M�nchwilen,4711,Affeltrangen,1406,620,,,587,178,409,44.1
24.09.2000,8,3,Obligatorisches Referendum,2005,Kreuzlingen,4641,Altnau,1144,477,,,468,219,249,41.7
24.09.2000,8,3,Obligatorisches Referendum,2008,Weinfelden,4881,Amlikon-Bissegg,817,386,,,368,102,266,47.2
24.09.2000,8,3,Obligatorisches Referendum,2002,Bischofszell,4461,Amriswil,6575,2280,,,2193,875,1318,34.7
24.09.2000,8,3,Obligatorisches Referendum,2001,Arbon,4401,Arbon,7626,2660,,,2451,1012,1439,34.9
24.09.2000,8,3,Obligatorisches Referendum,2003,Diessenhofen,4536,Basadingen-Schlattingen,1048,429,,,412,143,269,40.9
24.09.2000,8,3,Obligatorisches Referendum,2008,Weinfelden,4891,Berg,1838,811,,,785,310,475,44.1
24.09.2000,8,3,Obligatorisches Referendum,2007,Steckborn,4801,Berlingen,545,280,,,268,139,129,51.4
24.09.2000,8,3,Obligatorisches Referendum,2006,M�nchwilen,4716,Bettwiesen,568,285,,,274,103,171,50.2
24.09.2000,8,3,Obligatorisches Referendum,2006,M�nchwilen,4721,Bichelsee-Balterswil,1589,774,,,748,263,485,48.7
24.09.2000,8,3,Obligatorisches Referendum,2008,Weinfelden,4901,Birwinken,842,400,,,383,165,218,47.5
24.09.2000,8,3,Obligatorisches Referendum,2002,Bischofszell,4471,Bischofszell,3373,1336,,,1263,524,739,39.6
24.09.2000,8,3,Obligatorisches Referendum,2005,Kreuzlingen,4643,Bottighofen,1142,530,,,511,195,316,46.4
24.09.2000,8,3,Obligatorisches Referendum,2006,M�nchwilen,4723,Braunau,462,282,,,265,93,172,61
24.09.2000,8,3,Obligatorisches Referendum,2008,Weinfelden,4911,B�rglen (TG),1831,701,,,682,321,361,38.3
24.09.2000,8,3,Obligatorisches Referendum,2008,Weinfelden,4921,Bussnang,1425,699,,,664,253,411,49.1
24.09.2000,8,3,Obligatorisches Referendum,2003,Diessenhofen,4545,Diessenhofen,1855,809,,,802,301,501,43.6
24.09.2000,8,3,Obligatorisches Referendum,2001,Arbon,4406,Dozwil,343,189,,,181,63,118,55.1
24.09.2000,8,3,Obligatorisches Referendum,2001,Arbon,4411,Egnach,2679,1075,,,1029,455,574,40.1
24.09.2000,8,3,Obligatorisches Referendum,2002,Bischofszell,4476,Erlen,1882,696,,,666,266,400,37
24.09.2000,8,3,Obligatorisches Referendum,2005,Kreuzlingen,4646,Ermatingen,1671,705,,,668,289,379,42.2
24.09.2000,8,3,Obligatorisches Referendum,2007,Steckborn,4806,Eschenz,1008,450,,,439,185,254,44.6
24.09.2000,8,3,Obligatorisches Referendum,2006,M�nchwilen,4724,Eschlikon,2172,1042,,,1016,459,557,48
24.09.2000,8,3,Obligatorisches Referendum,2004,Frauenfeld,4561,Felben-Wellhausen,1348,556,,,540,192,348,41.2
24.09.2000,8,3,Obligatorisches Referendum,2006,M�nchwilen,4726,Fischingen,1797,925,,,888,370,518,51.5
24.09.2000,8,3,Obligatorisches Referendum,2004,Frauenfeld,4566,Frauenfeld,13558,6013,,,5777,2738,3039,44.4
24.09.2000,8,3,Obligatorisches Referendum,2004,Frauenfeld,4571,Gachnang,1991,840,,,816,327,489,42.2
24.09.2000,8,3,Obligatorisches Referendum,2005,Kreuzlingen,4651,Gottlieben,178,99,,,95,40,55,55.6
24.09.2000,8,3,Obligatorisches Referendum,2005,Kreuzlingen,4656,G�ttingen,863,377,,,369,133,236,43.7
24.09.2000,8,3,Obligatorisches Referendum,2002,Bischofszell,4486,Hauptwil-Gottshaus,1220,525,,,501,206,295,43
24.09.2000,8,3,Obligatorisches Referendum,2001,Arbon,4416,Hefenhofen,756,311,,,292,95,197,41.1
24.09.2000,8,3,Obligatorisches Referendum,2007,Steckborn,4811,Herdern,603,288,,,284,120,164,47.8
24.09.2000,8,3,Obligatorisches Referendum,2002,Bischofszell,4495,Hohentannen,387,168,,,165,45,120,43.4
24.09.2000,8,3,Obligatorisches Referendum,2007,Steckborn,4816,Homburg,1010,464,,,453,151,302,45.9
24.09.2000,8,3,Obligatorisches Referendum,2001,Arbon,4421,Horn,1562,696,,,686,321,365,44.6
24.09.2000,8,3,Obligatorisches Referendum,2004,Frauenfeld,4590,H�ttlingen,571,301,,,290,134,156,52.7
24.09.2000,8,3,Obligatorisches Referendum,2007,Steckborn,4821,H�ttwilen,955,475,,,454,174,280,49.7
24.09.2000,8,3,Obligatorisches Referendum,2005,Kreuzlingen,4666,Kemmental,1492,822,,,759,241,518,55.1
24.09.2000,8,3,Obligatorisches Referendum,2001,Arbon,4426,Kesswil,575,284,,,277,113,164,49.4
24.09.2000,8,3,Obligatorisches Referendum,2002,Bischofszell,4501,Kradolf-Sch�nenberg,1822,684,,,662,281,381,37.5
24.09.2000,8,3,Obligatorisches Referendum,2005,Kreuzlingen,4671,Kreuzlingen,8557,3397,,,3081,1436,1645,39.7
24.09.2000,8,3,Obligatorisches Referendum,2005,Kreuzlingen,4681,Langrickenbach,710,322,,,311,129,182,45.4
24.09.2000,8,3,Obligatorisches Referendum,2005,Kreuzlingen,4683,Lengwil,756,327,,,314,138,176,43.3
24.09.2000,8,3,Obligatorisches Referendum,2006,M�nchwilen,4741,Lommis,635,274,,,268,94,174,43.1
24.09.2000,8,3,Obligatorisches Referendum,2007,Steckborn,4826,Mammern,319,134,,,130,62,68,42
24.09.2000,8,3,Obligatorisches Referendum,2008,Weinfelden,4941,M�rstetten,1537,589,,,572,247,325,38.3
24.09.2000,8,3,Obligatorisches Referendum,2004,Frauenfeld,4591,Matzingen,1393,579,,,550,230,320,41.6
24.09.2000,8,3,Obligatorisches Referendum,2007,Steckborn,4831,M�llheim,1470,522,,,514,182,332,35.5
24.09.2000,8,3,Obligatorisches Referendum,2006,M�nchwilen,4746,M�nchwilen (TG),2662,1086,,,1046,445,601,40.8
24.09.2000,8,3,Obligatorisches Referendum,2005,Kreuzlingen,4691,M�nsterlingen,1330,603,,,586,307,279,45.3
24.09.2000,8,3,Obligatorisches Referendum,2004,Frauenfeld,4601,Neunforn,682,340,,,322,136,186,49.9
24.09.2000,8,3,Obligatorisches Referendum,2007,Steckborn,4841,Pfyn,1155,467,,,458,179,279,40.4
24.09.2000,8,3,Obligatorisches Referendum,2007,Steckborn,4846,Raperswilen,290,145,,,140,45,95,50
24.09.2000,8,3,Obligatorisches Referendum,2006,M�nchwilen,4751,Rickenbach (TG),1385,561,,,545,196,349,40.5
