02.12.2001;27;1;Volksinitiative;2006;M�nchwilen;4746;M�nchwilen (TG);2702;840;;;826;116;710;31.1
02.12.2001;27;1;Volksinitiative;2005;Kreuzlingen;4691;M�nsterlingen;1344;478;;;460;116;344;35.6
02.12.2001;27;1;Volksinitiative;2004;Frauenfeld;4601;Neunforn;693;278;;;276;35;241;40.1
02.12.2001;27;1;Volksinitiative;2007;Steckborn;4841;Pfyn;1156;424;;;420;80;340;36.7
02.12.2001;27;1;Volksinitiative;2007;Steckborn;4846;Raperswilen;291;114;;;112;3;109;39.2
02.12.2001;27;1;Volksinitiative;2006;M�nchwilen;4751;Rickenbach (TG);1374;456;;;453;61;392;33.2
02.12.2001;27;1;Volksinitiative;2001;Arbon;4431;Roggwil (TG);1724;586;;;570;86;484;34
02.12.2001;27;1;Volksinitiative;2001;Arbon;4436;Romanshorn;5451;1884;;;1848;335;1513;34.6
02.12.2001;27;1;Volksinitiative;2007;Steckborn;4851;Salenstein;775;318;;;313;45;268;41
02.12.2001;27;1;Volksinitiative;2001;Arbon;4441;Salmsach;778;234;;;232;35;197;30.1
02.12.2001;27;1;Volksinitiative;2003;Diessenhofen;4546;Schlatt (TG);1023;383;;;379;47;332;37.4
02.12.2001;27;1;Volksinitiative;2006;M�nchwilen;4756;Sch�nholzerswilen;523;200;;;196;26;170;38.2
02.12.2001;27;1;Volksinitiative;2006;M�nchwilen;4761;Sirnach;3781;1235;;;1218;189;1029;32.7
02.12.2001;27;1;Volksinitiative;2001;Arbon;4446;Sommeri;359;166;;;161;28;133;46.2
02.12.2001;27;1;Volksinitiative;2007;Steckborn;4864;Steckborn;2009;987;;;932;222;710;49.1
02.12.2001;27;1;Volksinitiative;2004;Frauenfeld;4606;Stettfurt;710;265;;;263;43;220;37.3
02.12.2001;27;1;Volksinitiative;2002;Bischofszell;4506;Sulgen;2060;733;;;718;113;605;35.6
02.12.2001;27;1;Volksinitiative;2005;Kreuzlingen;4696;T�gerwilen;1983;727;;;708;99;609;36.7
02.12.2001;27;1;Volksinitiative;2004;Frauenfeld;4611;Thundorf;868;344;;;339;48;291;39.6
02.12.2001;27;1;Volksinitiative;2006;M�nchwilen;4776;Tobel-T�gerschen;830;331;;;326;26;300;39.9
02.12.2001;27;1;Volksinitiative;2004;Frauenfeld;4616;Uesslingen-Buch;755;309;;;308;37;271;40.9
02.12.2001;27;1;Volksinitiative;2001;Arbon;4451;Uttwil;969;354;;;350;60;290;36.5
02.12.2001;27;1;Volksinitiative;2007;Steckborn;4871;Wagenhausen;1017;341;;;330;72;258;33.5
02.12.2001;27;1;Volksinitiative;2005;Kreuzlingen;4701;W�ldi;644;266;;;265;24;241;41.3
02.12.2001;27;1;Volksinitiative;2006;M�nchwilen;4781;W�ngi;2622;916;;;868;115;753;34.9
02.12.2001;27;1;Volksinitiative;2004;Frauenfeld;4621;Warth-Weiningen;813;365;;;356;60;296;44.9
02.12.2001;27;1;Volksinitiative;2008;Weinfelden;4946;Weinfelden;6238;2613;;;2506;397;2109;41.9
02.12.2001;27;1;Volksinitiative;2008;Weinfelden;4951;Wigoltingen;1393;548;;;537;68;469;39.3
02.12.2001;27;1;Volksinitiative;2006;M�nchwilen;4786;Wilen (TG);1226;442;;;442;67;375;36.1
02.12.2001;27;1;Volksinitiative;2006;M�nchwilen;4791;Wuppenau;712;296;;;291;43;248;41.6
02.12.2001;27;1;Volksinitiative;2002;Bischofszell;4511;Zihlschlacht-Sitterdorf;1285;431;;;412;42;370;33.5
